ID,Age,Gender,Age Group,Category,PC Group,Ascent,Descent,Finish,PC,Year_Overall_Place,Year_Gender_Place,Year_Age_Place,Year_Category_Place,Year_Overall%,Year_Gender%,Year_Age%,Year_Category%,Year,OverallPlace_CS_AT,GenderPlace_CS_AT,AgePlace_CS_AT,CategoryPlace_CS_AT,Overall%_CS_AT,Gender%_CS_AT,Age%_CS_AT,Category%_CS_AT
8953,29,F,20-29,F20-29,0.555,82.85,66.6833333333334,149.533333333333,0.55405706642889,54,26,23,12,0.0357142857142857,0.037037037037037,0,0,2011,551,238,187,90,0.0400696864111498,0.0555555555555556,0.0260416666666667,0.032258064516129
9374,28,F,20-29,F20-29,0.555,82.7,66.7,149.4,0.553547523427042,73,30,19,8,0.0759493670886076,0.117647058823529,0,0,2012,550,237,186,89,0.0418118466898955,0.0595238095238095,0.03125,0.043010752688172
7963,26,F,20-29,F20-29,0.565,87.0166666666667,66.9283333333333,153.945,0.565245163315903,87,38,16,8,0.074468085106383,0.0714285714285714,0,0,2019,567,248,191,93,0.0121951219512195,0.0119047619047619,0.00520833333333333,0
4642,29,F,20-29,F20-29,0.565,81.7666666666667,63.1383333333333,144.905,0.564277745189377,53,25,22,11,0.0535714285714286,0.0740740740740741,0.0434782608695652,0.0833333333333333,2011,538,227,185,88,0.0627177700348432,0.0992063492063492,0.0364583333333333,0.0537634408602151
7880,24,F,20-29,F20-29,0.565,78.0166666666667,59.7,137.716666666667,0.566501270724918,44,14,14,9,0.169811320754717,0.333333333333333,0.0666666666666667,0.1,2002,502,199,175,79,0.125435540069686,0.21031746031746,0.0885416666666667,0.150537634408602
3747,21,F,20-29,F20-29,0.565,63.4833333333333,48.55,112.033333333333,0.566646831300208,25,5,8,3,0.528301886792453,0.761904761904762,0.466666666666667,0.7,2002,297,77,117,34,0.482578397212544,0.694444444444444,0.385416666666667,0.634408602150538
8990,22,F,20-29,F20-29,0.575,88.4333333333333,64.1833333333333,152.616666666667,0.579447417276401,63,30,13,6,0.0735294117647059,0.138888888888889,0,0,2013,561,244,188,91,0.0226480836236934,0.0277777777777778,0.015625,0.010752688172043
2337,24,F,20-29,F20-29,0.575,88.4333333333333,64.1833333333333,152.616666666667,0.579447417276401,62,30,13,6,0.0882352941176471,0.138888888888889,0,0,2013,561,244,188,91,0.0226480836236934,0.0277777777777778,0.015625,0.010752688172043
7278,22,F,20-29,F20-29,0.575,79.8666666666667,59.25,139.116666666667,0.574098478495268,47,15,13,6,0.0961538461538462,0.117647058823529,0.0714285714285714,0,2005,517,212,178,82,0.0993031358885017,0.158730158730159,0.0729166666666667,0.118279569892473
9597,24,F,20-29,F20-29,0.575,72.4666666666667,54.3333333333333,126.8,0.571503680336488,29,11,14,7,0.408163265306122,0.476190476190476,0.176470588235294,0.222222222222222,2003,426,148,159,65,0.257839721254355,0.412698412698413,0.171875,0.301075268817204
3880,20,F,20-29,F20-29,0.575,71.6333333333333,53.4333333333333,125.066666666667,0.572761194029851,37,10,11,6,0.30188679245283,0.523809523809524,0.266666666666667,0.4,2002,409,137,154,61,0.287456445993031,0.456349206349206,0.197916666666667,0.344086021505376
3104,28,F,20-29,F20-29,0.575,68.75,50.5666666666667,119.316666666667,0.576197792987847,25,7,11,4,0.489795918367347,0.666666666666667,0.352941176470588,0.555555555555556,2003,362,112,137,47,0.369337979094077,0.555555555555556,0.286458333333333,0.494623655913978
2564,24,F,20-29,F20-29,0.585,83.8333333333333,59.15,142.983333333333,0.586315421377783,46,18,11,5,0.0980392156862745,0.142857142857143,0.0833333333333333,0.166666666666667,2004,532,222,181,84,0.0731707317073171,0.119047619047619,0.0572916666666667,0.0967741935483871
