cs.earlham.edu:443 157.55.39.157 - - [19/Oct/2019:06:25:44 -0400] "GET /~skylar/humor/Unix/human.dna.html HTTP/1.1" 200 9221 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
cs.earlham.edu:443 46.229.168.161 - - [19/Oct/2019:06:25:56 -0400] "GET /~chip/cs345/bm_gener/chip-7-6a-finish/profile-1.conf HTTP/1.1" 200 5834 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
wiki.cs.earlham.edu:80 54.36.148.194 - - [19/Oct/2019:06:26:02 -0400] "GET /index.php?title=Special:UserLogin&returnto=ToDo&returntoquery=action%3Dhistory HTTP/1.1" 302 658 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)"
cs.earlham.edu:443 46.229.168.152 - - [19/Oct/2019:06:26:16 -0400] "GET /~chip/www/www/www/www/www/www/www/www/www/cs345/gaim_try/gaim-0.61/src/buddy.o HTTP/1.1" 200 53189 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
cs.earlham.edu:443 46.229.168.152 - - [19/Oct/2019:06:26:17 -0400] "GET /~chip/www/www/www/www/www/www/www/www/www/www/srsem/newlibkb/libkb-1.01/bin/tube.mod HTTP/1.1" 200 23036 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
cs.earlham.edu:443 46.229.168.148 - - [19/Oct/2019:06:26:22 -0400] "GET /~chip/www/share/locale/zh_CN/?C=N%3BO%3DD HTTP/1.1" 200 5854 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
fieldscience.cs.earlham.edu:443 46.229.168.132 - - [19/Oct/2019:06:26:23 -0400] "GET /index.php/category/progress-reports/ HTTP/1.1" 200 14825 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
datascience.cs.earlham.edu:80 223.226.123.96 - - [19/Oct/2019:06:26:35 -0400] "POST /xmlrpc.php HTTP/1.1" 302 591 "-" "Mozilla/5.0 (X11; Linux i686; rv:2.0.1) Gecko/20100101 Firefox/4.0.1"
datascience.cs.earlham.edu:443 223.226.123.96 - - [19/Oct/2019:06:26:36 -0400] "GET /xmlrpc.php HTTP/1.1" 405 5543 "-" "Mozilla/5.0 (X11; Linux i686; rv:2.0.1) Gecko/20100101 Firefox/4.0.1"
cs.earlham.edu:443 46.229.168.144 - - [19/Oct/2019:06:26:56 -0400] "GET /~charliep/courses/cs345/bugs/2-bug.c HTTP/1.1" 200 5786 "-" "Mozilla/5.0 (compatible; SemrushBot/6~bl; +http://www.semrush.com/bot.html)"
